Label,Tree #,Height (cm),Leaf Spot,Canker #,Disease Severity,Cankers/cm
353_E_24,3,47,Y,1,4,0.021276596
WV94_8_3-4,2,26,N,3,3,0.115384615
WV94_R_5,4,16,N,1,3,0.0625
WV94_8_4-2,3,24,N,0,1,0
WV94_R_2-1,3,18,Y,1,4,0.055555556
T61_8_15-1,2,28,Y,9,5,0.321428571
WV94_WT,8,28,N,0,1,0
353_E_19,3,30,Y,0,1,0
WV94_E_3-3,2,32,N,0,1,0
353_E_7,3,38,Y,0,1,0
353_8_9,1,68,Y,2,4,0.029411765
353_8_35,2,58,N,2,4,0.034482759
353_8_16,1,18,Y,0,1,0
WV94_E_4-1,2,40,N,0,1,0
353_8_33,3,63,N,3,3,0.047619048
T10_1_C3,1,26,Y,16,5,0.615384615
T10_1_C1,2,32,Y,5,4,0.15625
353_E_48,2,75,Y,3,4,0.04
353_E_40,1,53,Y,2,4,0.037735849
353_E_4,2,75,Y,1,4,0.013333333
353_WT,3,48,Y,0,1,0
353_E_28,2,58,N,0,1,0
T61_E_24-1,1,41,Y,21,5,0.512195122
WV94_R_6,2,27,Y,0,1,0
WV94_R_2-1,2,27,N,0,1,0
T61_E_7-1,1,37,Y,1,3,0.027027027
WV94_R_5,1,17,N,0,1,0
353_8_38,1,43,Y,1,2,0.023255814
717_E_55,1,33,N,0,1,0
353_E_28,5,47,Y,4,4,0.085106383
353_R_2,3,47,Y,8,4,0.170212766
353_R_11,3,51,N,0,1,0
353_8_3,2,52,N,1,4,0.019230769
717_E_39,2,50,N,3,3,0.06
717_E_12,1,38,Y,0,1,0
WV94_R_1-2,3,26,Y,1,4,0.038461538
WV94_E_3-3,3,19,Y,0,1,0
717_E_28,2,62,N,1,4,0.016129032
WV94_E_1-1,4,14,Y,1,4,0.071428571
WV94_R_4-1,1,34,N,2,4,0.058823529
WV94_E_5,2,29,Y,1,4,0.034482759
353_E_32,2,46,N,1,3,0.02173913
WV94_E_2-1,2,23,Y,0,1,0
717_8_15,1,42,Y,0,1,0
353_8_3,1,63,N,2,4,0.031746032
T61_E_15-1,1,34,Y,14,4,0.411764706
WV94_R_1-2,2,16,N,0,1,0
353_R_5,1,61,Y,8,3,0.131147541
353_E_15,2,61,Y,0,1,0
T61_R_20-1,1,49,Y,13,5,0.265306122
WV94_E_1-1,2,35,N,1,4,0.028571429
353_8_31,2,31,Y,0,1,0
353_E_13,1,70,Y,1,3,0.014285714
T61_R_2-1,1,19,Y,1,3,0.052631579
T61_8_11-2,1,36,Y,7,4,0.194444444
353_R_22,2,47,Y,0,1,0
353_8_28,1,61,Y,2,3,0.032786885
353_E_25,3,48,N,1,3,0.020833333
353_8_19,4,52,Y,1,4,0.019230769
353_8_38,2,52,Y,0,1,0
353_R_3,3,44,N,0,1,0
WV94_WT,7,30,Y,0,1,0
T61_8_1-1,2,53,Y,0,1,0
353_E_50,3,35,Y,0,1,0
353_8_2,2,47,Y,0,1,0
717_8_38,1,56,Y,0,1,0
T61_8_16-1,1,33,Y,15,5,0.454545455
353_8_31,5,52,Y,7,4,0.134615385
353_8_41,5,34,N,0,1,0
353_R_19,3,50,Y,14,4,0.28
353_8_35,3,39,Y,0,1,0
T61_R_30-1,1,43,Y,8,4,0.186046512
WV94_E_5,1,20,N,0,1,0
353_8_19,2,65,Y,12,3,0.184615385
T61_8_29,1,11,Y,1,4,0.090909091
353_8_33,2,66,N,3,3,0.045454545
353_R_24,1,52,Y,0,1,0
T61_8_1-1,1,19,Y,0,1,0
WV94_8_4-2,1,24,N,1,4,0.041666667
WV94_E_6,1,24,N,0,1,0
353_8_16,1,51,N,2,2,0.039215686
